tmp_yicheapp_dsp_momo_20180830.imei,tmp_yicheapp_dsp_momo_20180830.imeimd5,tmp_yicheapp_dsp_momo_20180830.timestamp,tmp_yicheapp_dsp_momo_20180830.hour,tmp_yicheapp_dsp_momo_20180830.ip,tmp_yicheapp_dsp_momo_20180830.province,tmp_yicheapp_dsp_momo_20180830.city,tmp_yicheapp_dsp_momo_20180830.provincename,tmp_yicheapp_dsp_momo_20180830.cityname,tmp_yicheapp_dsp_momo_20180830.bidid,tmp_yicheapp_dsp_momo_20180830.channelid,tmp_yicheapp_dsp_momo_20180830.mediaid,tmp_yicheapp_dsp_momo_20180830.bidprice,tmp_yicheapp_dsp_momo_20180830.price,tmp_yicheapp_dsp_momo_20180830.cookie,tmp_yicheapp_dsp_momo_20180830.ua,tmp_yicheapp_dsp_momo_20180830.devicetype,tmp_yicheapp_dsp_momo_20180830.mobiletype,tmp_yicheapp_dsp_momo_20180830.nettype,tmp_yicheapp_dsp_momo_20180830.placeid,tmp_yicheapp_dsp_momo_20180830.pageurl,tmp_yicheapp_dsp_momo_20180830.ordersn,tmp_yicheapp_dsp_momo_20180830.campaignid,tmp_yicheapp_dsp_momo_20180830.materialid,tmp_yicheapp_dsp_momo_20180830.schedulingid,tmp_yicheapp_dsp_momo_20180830.resulttype,tmp_yicheapp_dsp_momo_20180830.creativeid,tmp_yicheapp_dsp_momo_20180830.capfrequency,tmp_yicheapp_dsp_momo_20180830.groupid,tmp_yicheapp_dsp_momo_20180830.advertiserid,tmp_yicheapp_dsp_momo_20180830.adid,tmp_yicheapp_dsp_momo_20180830.adnetwork,tmp_yicheapp_dsp_momo_20180830.mediadata,tmp_yicheapp_dsp_momo_20180830.dealid,tmp_yicheapp_dsp_momo_20180830.ttdealid,tmp_yicheapp_dsp_momo_20180830.agentprice,tmp_yicheapp_dsp_momo_20180830.floorprice,tmp_yicheapp_dsp_momo_20180830.mid,tmp_yicheapp_dsp_momo_20180830.lon,tmp_yicheapp_dsp_momo_20180830.lat,tmp_yicheapp_dsp_momo_20180830.etl_dt,tmp_yicheapp_dsp_momo_20180830.etl_hr
8.63E+14,369eb9ab9c64c177d7d2cabb73c3c218,1.53E+12,12,223.104.247.45,100000,109900,未识别地匿未识别地匿wdOpWamNVLXEVKHjHuXIBsFOuaYMZVtK,4,34,0,0,369eb9ab9c64c177d7d2cabb73c3c218,MomoChat/8.8.1 Android/2095 (PRA-AL00X; Android 7.0; Gapps 1; zh_CN; 17; HUAWEI),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""27"",""gender"":""1"",""usertag"":"""",""ageMax"":""32""}",null,null,0,1500,NULL,119.6567,29.0729,2018/7/9,12,,
8.61E+14,3a99bcb0d2439001dfb5c5bd198d2ee2,1.53E+12,10,117.136.47.187,130000,139900,河北眿未识别地匿EVptWIsLgvCyopOfvomGBVvSjRCMnsOU,4,34,0,0,3a99bcb0d2439001dfb5c5bd198d2ee2,MomoChat/8.8.1 Android/2095 (vivo Y51; Android 5.0.2; Gapps 1; zh_CN; 27; vivo),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""19"",""gender"":""1"",""usertag"":"""",""ageMax"":""22""}",null,null,0,1500,NULL,117.1129,39.7943,2018/7/22,10,,
8.64E+14,421500b9928ddf4f2892599e611b7573,1.53E+12,6,211.94.195.19,120000,129900,天津帿未识别地匿DZqJlHicaSBQURPQqPLLgtNrbiwFJipP,4,34,0,0,421500b9928ddf4f2892599e611b7573,MomoChat/8.9.3 Android/3085 (OPPO A57; Android 6.0.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,116.9184,38.7136,2018/8/4,6,,
A000006475DEC8,46454b3a9474bc8e550f45626fd07d3d,1.53E+12,20,106.57.51.118,530000,530800,云南眿普洱帿cTCamrWEdTdnwVOskbYioGHjlCuAPRFp,4,34,0,0,46454b3a9474bc8e550f45626fd07d3d,MomoChat/8.9.2 Android/3064 (OPPO R9sk; Android 6.0.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,101.8543,22.5857,2018/7/30,20,,
8.62E+14,49a2e56be2ee557f1bae46cd4cca7acd,1.53E+12,12,49.119.236.160,650000,650100,"新疆维吾尔自治区,乌鲁木齐帿eoXSmEtUAdGdxWIUFrTtYtnvBxnavvsM",4,34,0,0,49a2e56be2ee557f1bae46cd4cca7acd,MomoChat/8.8.4 Android/2179 (OPPO R9 Plusm A; Android 5.1.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""19"",""gender"":""1"",""usertag"":"""",""ageMax"":""22""}",null,null,0,1500,NULL,113.6632,22.9628,2018/7/9,12,,
8.64E+14,4dccc07ea14b78309cd8f3f28363bf33,1.53E+12,18,60.173.248.29,340000,340100,安徽眿合肥帿ltBcKWbWNmJbxxvXeKItasofgJEiDdEB,4,34,1500,1500,4dccc07ea14b78309cd8f3f28363bf33,MomoChat/8.8.4 Android/2179 (OPPO R9s; Android 6.0.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,WIFI,604,,,283,-1,,0,1041,0,658,10010,811,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",,,1500,0,NULL,117.2928,31.938,2018/7/21,18,,
8.61E+14,4de8f2672ef61bf011caa647481b0a38,1.53E+12,18,111.85.140.181,520000,520100,,4,34,0,0,4de8f2672ef61bf011caa647481b0a38,MomoChat/8.9.2 Android/3064 (OPPO R9tm; Android 5.1; Gapps 1; zh_CN; 7; OPPO),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""27"",""gender"":""2"",""usertag"":"""",""ageMax"":""32""}",null,null,0,1500,NULL,106.7417,26.5606,2018/7/30,18,,
8.61E+14,55c3d2a56cb3aa4228c98c197e421929,1.53E+12,20,183.208.109.4,320000,321300,,4,34,0,0,55c3d2a56cb3aa4228c98c197e421929,MomoChat/8.9 Android/3002 (vivo X6D; Android 5.1; Gapps 1; zh_CN; 27; vivo),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""19"",""gender"":""1"",""usertag"":"""",""ageMax"":""22""}",null,null,0,1500,NULL,118.0943,33.9932,2018/7/15,20,,
A00000647FA914,5791d0214c138da15ff5032df22257cc,1.53E+12,19,58.16.228.140,520000,529900,,4,34,1500,1500,5791d0214c138da15ff5032df22257cc,MomoChat/8.7.2 Android/1830 (OPPO R9sk; Android 6.0.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,604,,,283,-1,,0,1041,0,658,10010,811,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":""10014,"",""ageMax"":""2147483647""}",,,1500,0,NULL,106.7427,27.0412,2018/7/22,19,,
8.64E+14,57951bca3f5118522f2a0d173d2dba18,1.53E+12,22,117.136.73.48,530000,539900,,4,34,0,0,57951bca3f5118522f2a0d173d2dba18,MomoChat/8.8.4 Android/2179 (OPPO A57; Android 6.0.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,2G,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,102.5053,23.4052,2018/7/15,22,,
8.61E+14,5c3d0a2756f66228800a8628ee276c3b,1.53E+12,22,14.204.90.148,530000,539900,云南眿未识别地匿bhZdzxIFlYUZONbkywcHqRrALdqffpgz,4,34,0,0,5c3d0a2756f66228800a8628ee276c3b,MomoChat/8.9 Android/3004 (MI 5s Plus; Android 7.0; Gapps 1; zh_CN; 23; Xiaomi),1,ANDROIDPHONE,WIFI,604,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":"""",""ageMax"":""2147483647""}",null,null,0,1500,NULL,102.7484,25.0431,2018/7/19,22,,
8.62E+14,5caf79d99bcc14e22ae28dab168ceb94,1.53E+12,15,58.44.14.152,430000,430600,湖南眿岳阳帿aMErOscwNTysSrViTLDJEBefSJidKDEI,4,34,0,0,5caf79d99bcc14e22ae28dab168ceb94,MomoChat/8.9.3 Android/3085 (OPPO R9tm; Android 5.1; Gapps 1; zh_CN; 12; OPPO),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""27"",""gender"":""1"",""usertag"":"""",""ageMax"":""32""}",null,null,0,1500,NULL,113.8012,29.0906,2018/8/7,15,,
8.65E+14,61c37e982c606478b8e25c03e2875599,1.53E+12,10,117.23.155.134,610000,610800,陕西眿榆林帿nhjMOcSgsHumhZhuySyTNtxWNGvjvgGE,4,34,0,0,61c37e982c606478b8e25c03e2875599,MomoChat/8.8.4 Android/2179 (MHA-AL00; Android 8.0.0; Gapps 1; zh_CN; 17; HUAWEI),1,ANDROIDPHONE,WIFI,5,null,,0,0,,0,0,0,0,0,0,3,"{""ageMin"":""33"",""gender"":""1"",""usertag"":""10010,10007,"",""ageMax"":""2147483647""}",null,null,0,1500,NULL,110.4923,38.8728,2018/7/10,10,,
